,teamWins1,teamWins2,teamWins3,teamWins4,teamLosses1,teamLosses2,teamLosses3,teamLosses4,teamStats00,teamStats10,teamStats20,teamStats30,teamStats01,teamStats11,teamStats21,teamStats31,teamStats02,teamStats12,teamStats22,teamStats32,teamStats03,teamStats13,teamStats23,teamStats33,teamStats04,teamStats14,teamStats24,teamStats34,teamStats05,teamStats15,teamStats25,teamStats35,teamStats06,teamStats16,teamStats26,teamStats36,teamStats07,teamStats17,teamStats27,teamStats37,teamStats08,teamStats18,teamStats28,teamStats38,teamStats09,teamStats19,teamStats29,teamStats39,choose_team,playerStats00,playerStats10,playerStats20,playerStats30,playerStats01,playerStats11,playerStats21,playerStats31,playerStats02,playerStats12,playerStats22,playerStats32,playerStats03,playerStats13,playerStats23,playerStats33,playerStats04,playerStats14,playerStats24,playerStats34,playerStats05,playerStats15,playerStats25,playerStats35,playerStats06,playerStats16,playerStats26,playerStats36,playerStats07,playerStats17,playerStats27,playerStats37,playerStats08,playerStats18,playerStats28,playerStats38,playerStats09,playerStats19,playerStats29,playerStats39,team_or_player,which_player,buy_item,money
10,0,0,0,0,0,0,0,0,36,35,36,32,33,34,36,34,35,35,32,35,34,35,34,34,36,31,34,34,30,36,38,33,29,36,34,33,37,34,32,35,34,31,34,38,28,39,37,38,0,11,4,12,7,5,11,9,12,4,8,8,11,11,8,3,10,9,15,7,10,9,4,4,9,6,7,10,12,9,10,7,11,7,6,8,13,7,6,6,11,0,1,0,10
11,0,0,0,0,0,0,0,0,30,32,31,38,34,33,38,34,35,34,34,37,36,34,41,36,36,32,35,31,36,36,35,37,32,33,30,35,41,35,32,36,33,35,29,37,33,36,32,39,0,8,6,11,5,9,9,12,14,10,11,8,10,11,8,10,10,5,9,14,10,4,10,15,12,9,10,11,10,10,6,8,13,11,9,7,11,8,14,6,11,0,1,0,10
12,0,0,0,0,0,0,0,0,32,31,32,33,40,32,36,38,34,37,33,33,35,32,28,33,34,36,36,33,37,35,34,33,36,31,39,32,30,36,34,31,32,37,34,33,34,26,37,36,0,8,7,8,7,14,13,13,14,5,14,8,9,7,8,7,10,13,15,6,12,8,10,7,5,9,12,6,8,6,5,6,11,6,5,7,8,10,5,6,9,0,1,0,10
13,0,0,0,0,0,0,0,0,33,33,39,30,33,32,38,31,37,39,39,34,33,35,37,33,38,31,31,31,40,35,33,32,33,31,36,39,36,35,35,30,31,35,37,32,31,31,36,34,0,5,9,10,4,7,7,7,8,5,5,9,10,5,7,9,10,10,13,7,9,12,12,14,6,6,6,10,9,10,6,7,11,8,4,7,9,11,9,6,11,0,1,0,10
14,0,0,0,0,0,0,0,0,29,41,37,39,39,31,42,31,36,32,28,33,40,30,37,37,34,41,36,30,32,33,32,35,31,33,27,41,36,37,34,36,34,30,41,35,34,36,33,36,0,8,4,14,5,11,10,11,10,16,6,17,6,4,10,18,12,10,12,10,4,4,9,8,9,7,5,4,7,8,10,12,11,16,8,7,11,6,6,11,13,0,1,0,10
15,0,0,0,0,0,0,0,0,31,38,39,38,37,37,31,39,41,34,39,34,32,33,33,36,37,37,36,30,32,36,36,39,30,38,33,37,33,30,31,36,35,35,39,36,38,34,34,37,0,9,12,5,13,13,7,7,8,9,8,12,15,4,8,13,6,11,13,11,7,10,11,5,4,16,8,6,6,8,8,11,9,9,8,4,4,12,10,12,12,0,1,0,10
16,0,0,0,0,0,0,0,0,36,32,35,36,34,30,32,35,39,34,39,38,32,29,31,31,33,31,31,36,30,38,39,35,38,33,28,29,37,29,38,41,36,34,34,33,35,33,36,30,0,8,6,8,11,8,10,4,10,9,11,11,7,8,11,9,9,7,9,9,7,5,3,10,8,9,9,9,7,9,7,8,5,9,8,13,10,12,6,7,11,0,1,0,10
17,0,0,0,0,0,0,0,0,35,31,39,29,38,33,35,37,40,37,35,42,32,29,35,34,38,34,39,40,39,34,37,34,31,36,34,33,31,31,34,35,31,37,36,29,33,38,31,29,0,4,5,8,14,8,7,8,13,13,9,12,12,6,12,9,8,12,7,11,10,11,8,18,11,8,7,9,5,7,10,6,11,11,13,5,11,6,8,8,10,0,1,0,10
18,0,0,0,0,0,0,0,0,32,31,33,34,38,34,34,36,32,28,38,31,34,31,39,31,32,37,34,35,35,35,35,35,38,38,30,30,34,35,40,33,35,36,34,38,40,36,37,37,0,6,8,11,9,11,6,11,11,3,8,12,6,5,12,12,9,12,7,7,5,11,5,16,7,10,6,11,13,5,12,11,12,9,9,7,11,13,12,10,9,0,1,0,10
19,0,0,0,0,0,0,0,0,40,39,33,33,35,32,36,37,31,34,34,34,34,31,29,36,36,36,33,31,30,37,38,41,38,35,36,30,36,30,30,35,34,33,39,37,34,34,35,36,0,9,8,15,5,14,7,5,9,10,6,5,9,13,8,7,13,9,11,7,11,6,4,10,5,10,9,13,12,10,4,14,13,7,8,10,14,10,8,5,8,0,1,0,10
20,0,0,0,0,0,0,0,0,37,30,29,35,39,31,33,33,33,34,38,31,35,39,33,38,31,31,32,34,34,39,35,39,35,34,32,35,36,32,31,38,35,34,36,35,35,35,32,34,0,10,4,3,12,7,8,10,8,8,7,3,12,11,10,9,8,6,13,9,7,6,12,9,8,11,10,13,12,9,6,8,6,10,4,7,7,6,5,16,7,0,1,0,10
21,0,0,0,0,0,0,0,0,32,34,36,32,39,38,37,34,38,34,31,29,34,31,29,37,31,36,36,34,34,36,35,34,33,38,38,27,35,31,30,36,36,34,37,35,34,34,37,36,0,9,9,6,10,8,10,8,11,12,13,10,10,7,8,11,10,9,8,8,8,8,10,7,3,10,14,5,10,7,9,9,8,18,11,15,4,6,10,6,5,0,1,0,10
22,0,0,0,0,0,0,0,0,37,35,36,35,37,33,31,39,37,33,28,29,33,36,34,31,32,34,42,36,34,38,37,30,38,38,35,32,36,33,33,30,34,35,31,29,37,35,37,38,0,6,8,8,7,7,6,9,8,7,15,4,9,4,8,8,6,13,7,8,3,4,6,5,6,15,11,6,9,8,5,16,8,10,6,5,9,9,12,12,12,0,1,0,10
23,0,0,0,0,0,0,0,0,37,33,39,35,37,37,39,36,37,35,35,30,36,35,33,33,31,32,35,43,37,31,37,33,33,37,34,37,33,31,37,28,35,35,34,38,36,34,28,32,0,8,16,7,10,9,5,6,5,11,14,11,5,6,8,10,9,10,10,4,10,8,6,11,12,7,7,5,8,7,13,14,9,9,12,5,7,13,11,10,8,0,1,0,10
24,0,0,0,0,0,0,0,0,35,26,28,35,31,39,37,31,39,40,36,35,35,32,35,34,30,32,36,27,34,40,37,32,42,33,36,40,34,36,37,35,32,30,37,36,32,35,36,39,0,8,6,10,8,6,13,13,6,11,8,4,11,10,10,11,5,8,8,8,8,5,9,11,8,13,10,10,16,8,7,6,9,8,12,3,11,10,10,12,3,0,1,0,10
25,0,0,0,0,0,0,0,0,35,38,41,33,42,26,30,37,39,37,35,34,40,36,37,29,40,34,33,35,35,35,36,38,32,37,33,39,38,29,36,43,31,34,33,34,30,38,36,31,0,11,13,9,10,15,12,13,10,13,7,7,13,15,8,12,6,8,12,12,6,12,7,6,11,7,11,6,9,8,10,8,12,9,15,3,14,11,12,11,8,0,1,0,10
26,0,0,0,0,0,0,0,0,35,33,33,38,35,38,36,37,30,35,37,36,35,35,38,33,32,28,32,36,34,30,35,36,35,30,37,33,35,35,35,38,28,32,34,31,32,33,35,35,0,7,9,11,10,14,9,10,5,8,6,8,4,7,9,10,9,10,13,10,13,9,10,9,14,10,7,10,6,8,14,9,7,4,9,4,10,7,13,11,8,0,1,0,10
27,0,0,0,0,0,0,0,0,37,36,35,38,34,33,34,37,33,37,33,33,37,35,32,35,35,32,32,37,34,36,35,37,36,33,37,33,34,32,33,34,33,33,34,36,38,33,36,31,0,10,13,5,10,9,11,6,7,9,6,8,10,12,5,12,7,10,11,7,11,5,4,10,8,5,11,13,7,9,10,10,7,13,5,6,5,12,12,10,8,0,1,0,10
28,0,0,0,0,0,0,0,0,33,36,38,39,29,34,37,30,33,30,34,33,32,33,41,37,34,39,34,31,36,34,36,34,36,31,34,31,37,40,35,36,34,31,38,39,36,36,36,37,0,9,3,8,4,5,10,6,5,7,11,9,8,8,8,11,10,4,8,6,8,15,10,5,8,6,8,9,13,12,11,8,4,5,10,7,6,10,10,11,12,0,1,0,10
29,0,0,0,0,0,0,0,0,32,36,30,34,36,39,34,32,33,37,34,29,35,35,33,36,30,35,34,34,37,31,36,38,34,30,35,30,28,37,36,34,29,37,32,34,37,39,33,35,0,8,3,7,11,9,10,13,8,4,8,11,5,4,13,5,8,9,8,7,8,5,8,10,9,9,9,13,9,10,9,10,12,5,6,6,15,14,13,11,8,0,1,0,10
30,0,0,0,0,0,0,0,0,32,32,38,32,36,36,34,39,35,34,30,31,32,35,33,40,32,39,39,34,35,38,39,33,37,37,37,40,32,39,34,32,33,33,35,34,31,34,34,31,0,5,5,7,8,13,4,13,4,5,11,11,12,7,5,15,5,11,5,14,10,10,11,12,8,7,13,6,6,5,11,7,13,9,9,5,7,9,10,7,8,0,1,0,10
31,0,0,0,0,0,0,0,0,42,33,33,30,32,33,31,34,34,33,31,32,36,36,36,38,34,33,35,38,33,32,37,29,37,38,31,40,37,34,35,32,40,36,36,34,36,34,37,35,0,13,11,10,10,8,13,5,9,10,11,12,11,11,6,10,10,7,9,9,8,7,13,10,4,12,9,14,6,8,11,9,5,9,9,14,8,8,15,12,9,0,1,0,10
32,0,0,0,0,0,0,0,0,31,33,32,36,35,37,34,38,37,35,37,35,33,33,41,31,31,32,33,36,40,37,36,37,35,34,34,33,34,33,31,36,37,38,39,40,36,33,36,41,0,4,9,7,11,4,12,12,6,9,10,11,11,12,10,11,7,12,14,6,6,11,4,12,13,4,12,12,8,14,5,7,10,6,10,10,10,10,10,9,9,0,1,0,10
33,0,0,0,0,0,0,0,0,40,37,37,35,33,37,37,33,34,34,43,32,33,32,32,36,34,38,34,34,34,34,37,29,31,37,36,34,35,34,34,39,34,39,34,33,32,36,35,37,0,10,8,6,10,10,9,9,12,10,10,8,4,7,10,7,7,10,9,7,10,8,6,9,11,11,7,8,7,13,9,6,7,3,6,9,12,10,9,7,9,0,1,0,10
34,0,0,0,0,0,0,0,0,36,37,42,36,32,37,35,30,35,28,36,33,38,31,32,37,33,35,36,26,32,36,36,33,33,37,32,39,28,37,43,33,37,39,33,32,38,33,38,36,0,10,9,11,9,6,9,7,6,7,6,7,15,8,10,16,5,5,8,8,10,6,4,10,11,8,11,12,6,7,5,3,7,7,7,12,9,7,12,7,12,0,1,0,10
35,0,0,0,0,0,0,0,0,33,37,35,37,32,32,40,36,36,35,36,35,31,30,40,37,39,35,33,34,33,36,37,37,41,36,29,36,38,38,35,39,39,31,32,32,35,34,30,35,0,6,9,7,9,7,9,13,13,3,13,14,9,5,8,5,6,9,9,11,12,4,4,14,9,8,10,14,9,9,8,14,9,12,5,9,14,8,8,10,8,0,1,0,10
36,0,0,0,0,0,0,0,0,37,39,32,38,36,35,35,36,36,37,34,36,34,30,31,38,35,35,32,32,34,31,39,40,31,30,39,40,36,37,37,35,39,38,30,33,34,37,33,33,0,9,8,9,3,7,11,5,10,8,13,7,10,5,13,9,10,10,8,9,5,11,11,9,8,12,5,7,6,14,3,10,11,7,8,14,11,12,8,8,9,0,1,0,10
37,0,0,0,0,0,0,0,0,36,38,35,34,36,27,41,32,31,35,34,38,37,36,34,35,34,35,33,36,35,37,35,31,27,36,34,38,37,35,29,30,32,30,33,39,36,35,32,38,0,12,7,6,10,14,9,4,8,9,7,4,7,13,15,7,9,8,7,16,11,7,5,10,11,5,4,10,8,8,10,6,8,10,8,8,9,8,10,7,10,0,1,0,10
38,0,0,0,0,0,0,0,0,33,35,34,32,40,33,34,38,30,31,37,35,38,32,30,34,35,32,36,39,31,35,29,36,33,34,36,40,33,40,31,37,36,40,36,38,38,33,33,35,0,8,5,11,10,13,6,14,10,9,9,11,7,10,10,12,9,8,5,8,8,8,10,7,8,9,7,8,6,8,5,6,4,13,9,12,11,6,10,16,9,0,1,0,10
39,0,0,0,0,0,0,0,0,39,35,35,40,36,31,34,39,38,33,31,37,35,39,42,39,35,32,34,35,35,34,35,33,33,32,38,39,33,31,33,36,36,32,30,33,34,35,40,38,0,9,14,9,12,13,9,7,13,5,11,9,15,7,11,11,10,6,8,10,14,12,9,7,9,8,9,7,3,5,5,7,10,12,8,14,8,7,10,13,10,0,1,0,10
40,0,0,0,0,0,0,0,0,37,34,38,36,37,34,32,35,32,36,36,35,36,31,40,30,30,32,35,35,28,34,29,36,30,34,31,39,31,39,37,34,32,33,39,35,32,33,31,36,0,17,8,5,8,5,13,12,12,6,10,9,6,13,14,8,9,6,4,8,3,7,12,8,5,7,11,10,7,9,9,4,5,7,13,10,9,5,13,6,10,0,1,0,10
41,0,0,0,0,0,0,0,0,37,44,35,31,35,33,31,30,35,37,35,34,32,32,38,37,36,34,38,41,32,35,30,36,33,34,44,37,38,38,34,35,34,30,35,34,35,35,35,39,0,11,5,12,8,12,4,14,9,7,10,11,5,6,9,9,5,11,10,8,7,3,14,7,6,11,5,8,9,6,13,16,11,8,11,7,9,7,9,8,4,0,1,0,10
42,0,0,0,0,0,0,0,0,32,35,36,34,36,36,39,41,35,34,34,35,34,36,31,39,37,31,32,32,33,39,30,35,40,35,33,31,32,36,30,36,35,37,35,33,38,37,36,34,0,5,3,13,10,11,12,10,8,5,7,14,6,10,12,6,8,8,5,12,7,7,8,11,8,13,7,13,9,7,13,11,5,11,8,8,10,7,15,17,8,0,1,0,10
43,0,0,0,0,0,0,0,0,39,36,33,32,35,38,33,41,35,31,35,37,38,33,34,30,35,36,28,33,34,35,34,34,32,35,33,31,33,36,36,32,37,36,34,38,32,33,35,35,0,13,15,7,12,9,7,10,9,9,15,9,10,12,13,5,12,9,8,12,5,5,7,12,10,7,5,5,12,8,4,8,13,7,13,6,9,13,6,9,15,0,1,0,10
44,0,0,0,0,0,0,0,0,33,36,35,40,35,33,35,32,38,37,40,36,37,31,34,38,33,39,32,33,33,38,33,33,36,34,36,33,38,34,34,40,42,31,31,37,30,39,31,34,0,7,11,3,10,10,12,8,8,6,8,11,5,6,12,14,5,7,12,8,9,12,6,8,5,12,11,12,4,12,9,6,10,11,9,7,14,10,5,5,6,0,1,0,10
45,0,0,0,0,0,0,0,0,34,34,35,33,36,31,37,32,31,40,36,32,33,34,34,36,43,33,34,32,35,32,34,43,39,34,28,35,32,39,37,32,39,33,32,35,37,31,32,32,0,11,8,12,10,7,11,5,11,11,8,5,12,13,8,5,10,11,11,12,13,11,4,8,8,11,14,7,10,11,7,10,10,9,9,12,10,9,4,8,12,0,1,0,10
46,0,0,0,0,0,0,0,0,29,33,34,34,35,33,36,34,37,36,37,34,29,36,37,36,34,37,32,39,32,39,34,33,34,37,40,36,30,38,39,36,35,36,35,35,31,33,40,34,0,11,5,6,14,4,11,9,8,9,8,13,7,7,7,6,9,7,9,12,10,8,8,4,13,9,12,9,4,5,8,9,5,8,11,12,6,12,9,10,7,0,1,0,10
47,0,0,0,0,0,0,0,0,34,35,35,28,34,40,31,30,32,34,32,38,37,34,35,37,36,33,39,33,32,35,32,36,34,38,36,31,37,38,33,31,35,38,31,33,33,39,37,37,0,9,7,14,7,7,7,9,11,9,8,10,8,4,8,6,12,13,6,11,13,6,6,6,7,10,6,8,11,8,9,8,9,15,7,8,10,5,11,7,7,0,1,0,10
48,0,0,0,0,0,0,0,0,36,32,36,31,39,38,36,36,32,32,34,32,32,33,37,42,38,36,40,37,40,31,35,31,35,34,38,33,39,36,33,34,36,35,38,36,35,34,33,32,0,10,4,9,7,9,12,13,10,10,11,8,6,6,6,15,7,9,8,11,10,6,15,11,13,13,4,13,10,5,9,13,7,14,11,7,4,4,3,11,18,0,1,0,10
49,0,0,0,0,0,0,0,0,36,36,36,34,36,36,34,35,37,37,29,35,38,32,34,35,32,33,31,32,35,36,33,31,38,36,33,35,32,33,35,29,36,40,36,34,40,38,32,31,0,6,7,11,5,9,12,11,6,9,5,8,8,8,11,12,6,4,8,11,3,12,8,12,11,9,13,3,17,8,4,6,8,4,4,7,8,12,13,9,8,0,1,0,10
50,0,0,0,0,0,0,0,0,32,37,36,40,37,35,37,31,38,36,37,36,35,31,35,34,35,35,36,31,35,38,32,33,38,34,33,35,38,38,34,33,35,30,32,35,36,34,36,35,0,10,4,11,6,11,10,10,6,5,7,11,7,10,11,9,6,13,7,10,5,8,13,8,11,8,11,12,8,13,7,9,9,7,13,12,9,8,12,9,12,0,1,0,10
51,0,0,0,0,0,0,0,0,33,29,36,36,38,33,31,35,33,37,33,37,36,41,35,37,37,35,33,36,35,37,33,34,34,35,33,35,37,38,36,36,32,36,32,33,33,32,36,34,0,7,3,12,6,11,10,8,14,11,12,5,7,6,6,11,13,10,7,6,8,9,12,8,13,12,8,8,5,8,6,11,12,13,6,8,12,11,8,8,8,0,1,0,10
52,0,0,0,0,0,0,0,0,34,37,36,34,34,36,42,31,33,36,42,32,31,34,31,34,34,32,39,35,32,36,34,33,33,36,35,34,35,31,32,33,37,31,30,37,29,34,35,31,0,10,6,5,7,12,13,8,6,6,4,11,8,4,14,5,4,13,4,9,5,9,6,5,8,5,4,8,6,16,7,9,9,9,11,7,9,5,9,5,6,0,1,0,10
53,0,0,0,0,0,0,0,0,34,38,41,30,29,33,34,36,42,31,32,33,38,39,29,32,34,31,36,33,37,33,33,37,40,35,39,32,35,39,36,32,34,35,30,34,33,37,36,37,0,7,6,8,12,5,4,5,4,9,12,11,14,12,5,9,12,9,9,9,5,8,7,10,16,11,7,6,13,12,8,12,4,5,8,10,11,4,9,5,8,0,1,0,10
54,0,0,0,0,0,0,0,0,35,30,32,33,34,30,41,36,38,37,35,36,39,36,40,40,39,35,35,30,35,34,34,32,34,42,32,36,35,40,35,32,29,29,34,36,36,36,35,34,0,15,7,7,6,12,10,9,9,9,17,10,12,8,9,9,10,8,10,11,8,7,7,12,11,7,7,7,3,9,13,18,9,6,6,7,4,10,13,6,6,0,1,0,10
55,0,0,0,0,0,0,0,0,40,36,35,36,30,37,32,32,35,31,35,33,30,33,34,34,29,38,31,27,37,34,35,39,36,37,38,34,30,33,33,37,38,32,34,41,26,32,35,36,0,12,10,10,11,12,13,4,5,10,8,8,5,5,7,12,3,7,7,8,12,9,9,4,8,12,11,8,17,7,5,5,9,10,13,6,12,7,7,9,4,0,1,0,10
56,0,0,0,0,0,0,0,0,30,37,32,34,32,37,34,35,32,37,35,40,34,32,36,37,38,32,34,33,33,33,31,32,40,34,32,30,30,38,35,35,34,33,36,34,34,38,35,31,0,3,7,6,8,5,12,6,9,10,17,5,9,10,9,5,9,8,10,12,12,7,10,11,12,11,10,7,9,7,14,6,3,5,5,8,11,7,11,13,10,0,1,0,10
57,0,0,0,0,0,0,0,0,35,33,40,38,36,34,36,33,38,42,30,35,36,35,33,37,39,32,36,40,34,34,31,40,34,34,38,38,33,32,37,32,39,43,36,35,31,34,35,34,0,8,5,13,9,12,7,11,10,13,7,8,10,6,8,12,6,10,10,11,6,10,14,15,4,9,7,10,7,4,8,15,6,8,11,10,12,13,4,8,3,0,1,0,10
58,0,0,0,0,0,0,0,0,37,36,33,36,31,31,35,37,31,36,31,36,33,31,36,30,33,36,33,35,38,32,34,32,40,32,34,35,34,35,36,32,42,33,35,36,38,29,34,35,0,9,12,7,10,10,5,12,12,5,5,5,8,10,6,13,6,14,5,11,10,14,9,12,8,12,10,15,7,4,9,13,9,13,6,4,11,14,10,11,10,0,1,0,10
59,0,0,0,0,0,0,0,0,34,35,33,35,35,38,32,35,34,37,31,30,29,37,32,36,31,37,38,33,34,32,30,32,36,35,40,38,31,36,35,40,33,33,34,41,34,35,35,33,0,8,5,9,5,10,6,4,11,4,7,7,9,12,7,3,4,4,12,6,11,11,5,11,7,12,10,8,11,8,10,7,3,13,9,8,3,4,11,4,12,0,1,0,10
60,0,0,0,0,0,0,0,0,30,34,34,35,38,33,33,28,33,33,31,35,32,30,32,37,30,33,33,36,26,32,34,34,34,36,37,34,33,33,38,35,29,36,33,36,35,39,32,34,0,10,10,9,4,9,11,10,5,12,6,8,7,5,7,5,15,4,8,7,6,8,12,8,3,10,6,8,11,10,15,10,4,10,9,4,8,16,8,10,9,0,1,0,10
61,0,0,0,0,0,0,0,0,36,36,35,32,38,34,32,36,39,35,35,35,37,35,37,29,29,31,34,31,35,32,35,32,31,33,40,37,29,35,35,34,33,36,30,37,31,36,33,35,0,11,9,9,10,13,12,8,9,11,13,5,8,9,10,5,9,7,6,8,12,8,4,10,13,6,10,9,9,13,6,13,4,8,4,11,9,5,6,6,12,0,1,0,10
62,0,0,0,0,0,0,0,0,31,37,34,40,36,35,37,34,34,35,37,33,29,41,31,38,34,31,29,32,36,34,36,39,36,31,34,39,38,40,35,37,34,40,36,35,35,33,38,38,0,7,3,13,5,10,10,11,6,12,9,8,14,5,9,9,5,10,12,14,6,9,11,11,8,13,4,8,11,7,3,11,14,10,10,7,6,5,3,11,6,0,1,0,10
63,0,0,0,0,0,0,0,0,33,37,30,34,35,34,35,36,35,33,40,38,36,34,33,32,38,30,36,34,34,33,34,34,37,37,35,37,30,35,35,37,31,32,29,35,35,38,39,35,0,14,8,10,11,12,7,6,9,4,14,10,6,13,4,7,10,14,4,9,17,4,9,7,13,9,16,7,12,10,8,4,8,5,7,8,7,14,10,10,8,0,1,0,10
64,0,0,0,0,0,0,0,0,37,33,33,35,32,31,37,32,37,37,36,30,31,36,37,39,33,36,34,28,39,33,30,32,38,36,38,34,34,29,32,37,41,36,38,36,31,38,36,33,0,10,8,11,12,12,8,4,6,6,12,10,11,8,8,10,10,11,11,9,10,6,8,8,7,12,5,15,3,14,8,12,14,12,13,10,11,5,6,5,4,0,1,0,10
65,0,0,0,0,0,0,0,0,36,40,30,33,31,36,35,35,36,34,33,37,34,31,31,33,34,37,34,37,31,35,32,34,38,37,31,32,30,33,41,31,37,33,35,35,32,34,35,31,0,7,8,10,9,7,8,5,3,8,6,9,13,12,15,6,8,5,7,7,9,6,12,8,4,5,4,10,13,6,5,10,10,8,14,7,12,4,6,5,6,0,1,0,10
66,0,0,0,0,0,0,0,0,36,31,35,33,39,36,31,36,35,36,33,36,32,34,34,37,35,37,32,38,36,36,31,34,35,37,32,37,33,37,34,35,34,33,29,36,33,34,32,30,0,5,9,8,12,9,6,11,7,8,6,7,15,8,6,10,8,4,11,6,4,8,3,6,12,8,5,6,12,4,9,12,11,7,9,5,5,9,8,5,7,0,1,0,10
67,0,0,0,0,0,0,0,0,35,36,28,36,38,35,33,34,36,34,39,36,32,33,33,38,36,32,33,33,30,39,29,36,30,32,35,33,35,37,35,32,37,32,33,32,40,34,36,30,0,14,11,9,8,8,14,5,9,13,9,11,8,12,3,4,6,7,7,7,8,5,12,5,8,6,9,5,6,8,8,8,9,9,6,9,6,7,11,9,13,0,1,0,10
